Ticker,Date/Time,Open,Low,High,Close
DMART.EQ-NSE,10/16/2020,1980,1970,1999,1984.2
DMART.EQ-NSE,10/19/2020,1969.05,1954.85,2140,2094.3
DMART.EQ-NSE,10/20/2020,2099,2056,2170,2143.05
DMART.EQ-NSE,10/21/2020,2143.05,2061.05,2170,2081.35
DMART.EQ-NSE,10/22/2020,2081,2062.9,2129.9,2100.3
DMART.EQ-NSE,10/23/2020,2106.95,2081,2133.85,2116.55
DMART.EQ-NSE,10/26/2020,2120,2100.35,2150,2144.25
DMART.EQ-NSE,10/27/2020,2133,2111.85,2188,2176.2
DMART.EQ-NSE,10/28/2020,2197,2175,2249,2240.2
DMART.EQ-NSE,10/29/2020,2200,2185,2277.6,2267.1
DMART.EQ-NSE,10/30/2020,2260,2195.75,2278.9,2239.9
DMART.EQ-NSE,11/2/20,2240,2163,2259,2205.75
DMART.EQ-NSE,11/3/20,2203.8,2180,2245,2209.05
DMART.EQ-NSE,11/4/20,2210.05,2210.05,2300,2290.8
DMART.EQ-NSE,11/5/20,2202.5,2202.5,2325.45,2281.95
DMART.EQ-NSE,11/6/20,2281.95,2243.45,2303.25,2294.6
DMART.EQ-NSE,11/9/20,2306.05,2283.05,2335,2325.85
DMART.EQ-NSE,11/10/20,2340,2315.5,2368.9,2362.4
DMART.EQ-NSE,11/11/20,2373.9,2361,2403,2398.2
DMART.EQ-NSE,11/12/20,2400,2361.05,2410,2400.3
DMART.EQ-NSE,11/13/2020,2390,2361.5,2399,2383.05
DMART.EQ-NSE,11/14/2020,2405,2346,2407,2374.15
DMART.EQ-NSE,11/17/2020,2374.15,2374.15,2507.95,2432.15
DMART.EQ-NSE,11/18/2020,2420,2360.85,2420,2375.05
DMART.EQ-NSE,11/19/2020,2375,2330,2415,2392.2
DMART.EQ-NSE,11/20/2020,2390,2350.55,2438.95,2382.6
DMART.EQ-NSE,11/23/2020,2361.1,2352.25,2379.9,2360.4
DMART.EQ-NSE,11/24/2020,2367.95,2350,2429.9,2380.25
DMART.EQ-NSE,11/25/2020,2370,2350,2399.5,2360.8
DMART.EQ-NSE,11/26/2020,2353,2343.2,2396.9,2373.05
DMART.EQ-NSE,11/27/2020,2373,2220.05,2395,2289.2
DMART.EQ-NSE,12/1/20,2330,2315,2450,2426.7
DMART.EQ-NSE,12/2/20,2435,2380.15,2473,2456
DMART.EQ-NSE,12/3/20,2460.1,2440,2479.3,2470.85
DMART.EQ-NSE,12/4/20,2469.95,2415.55,2469.95,2441.9
DMART.EQ-NSE,12/7/20,2441.9,2413,2540.5,2526.45
DMART.EQ-NSE,12/8/20,2530,2520,2689,2652.1
DMART.EQ-NSE,12/9/20,2652,2586,2755,2625.3
DMART.EQ-NSE,12/10/20,2630,2575.85,2673.5,2622.05
DMART.EQ-NSE,12/11/20,2647,2632,2715,2685.1
DMART.EQ-NSE,12/14/2020,2715,2651.25,2745,2671.95
DMART.EQ-NSE,12/15/2020,2672,2624.5,2688.9,2640.05
DMART.EQ-NSE,12/16/2020,2650.05,2605,2678.45,2627.05
DMART.EQ-NSE,12/17/2020,2645,2503,2650,2556.05
DMART.EQ-NSE,12/18/2020,2574,2555,2650,2637.05
DMART.EQ-NSE,12/21/2020,2645,2460.8,2715,2682.4
DMART.EQ-NSE,12/22/2020,2676,2552.25,2678.3,2625.75
DMART.EQ-NSE,12/23/2020,2650,2621.3,2675,2661.85
DMART.EQ-NSE,12/24/2020,2661.85,2604.8,2700,2673.1
DMART.EQ-NSE,12/28/2020,2685.95,2655,2698.95,2678
DMART.EQ-NSE,12/29/2020,2690,2645,2694.7,2665.7
DMART.EQ-NSE,12/30/2020,2666.2,2642.35,2725,2680.3
DMART.EQ-NSE,12/31/2020,2691,2670,2780,2763.6
